서가네 갈비살,음식점,경기도 고양시 덕양구 고양대로 1383-9  (성사동),031)964-2800,10% 할인
만리장성,음식점,경기도 고양시 덕양구 호국로 783 102호 (주교동),031)963-2631,"짜장면, 짬뽕 / 10% 할인"
달빛소나타,음식점,경기도 고양시 덕양구 호국로779번길 14  (주교동),031)968-0651,돼지갈비 / 10% 할인
춘천꼬꼬닭갈비,음식점,경기도 고양시 덕양구 벽제관로 25  (고양동),031)962-8482,10% 할인
최가네 치킨,음식점,경기도 고양시 덕양구 벽제관로 26-1  (고양동),031)969-9925,10% 할인
양푼김치동태찌개,음식점,경기도 고양시 덕양구 벽제관로 16  (고양동),031)964-9350,10% 할인
상하이,음식점,경기도 고양시 덕양구 혜음로 45  (고양동),031)964-9927,중식류 / 10% 할인
삼겹살 앤 부대찌개,음식점,경기도 고양시 덕양구 혜음로 49  (고양동),031)962-7776,10% 할인
베스트 호프,음식점,경기도 고양시 덕양구 혜음로 42 2층 (고양동),031)965-1361,10% 할인
돈풍김치삼겹살,음식점,경기도 고양시 덕양구 고양대로1369번길 51  (성사동),031)965-8248,장병 1명당 1냉면 서비스
내고향 숯불갈비,음식점,경기도 고양시 덕양구 혜음로 29-2  (고양동),031)962-1677,10% 할인
고양왕한방족발보쌈,음식점,경기도 고양시 덕양구 벽제관로 38-14  (고양동),031)962-4658,10% 할인
희망식당,음식점,경기도 고양시 덕양구 화중로 32-21  (화정동),031)978-0872,"삼겹살, 찌개, 백반 / 15% 할인"
화정소불고기,음식점,경기도 고양시 덕양구 화중로104번길 28  (화정동),031)969-9244,"소불고기, 백반 / 10% 할인"
최현숙족발,음식점,경기도 고양시 덕양구 화신로272번길 29  (화정동),031)971-8833,"족발, 보쌈 / 10% 할인"
짚신매운갈비찜,음식점,경기도 고양시 덕양구 화신로272번길 30  (화정동),031)938-1987,"주요품록 : 돼지갈비, 국밥 
할인내용 : 갈비찜 주문시 계란찜 제공"
진안제일순대,음식점,경기도 고양시 덕양구 백양로 142-1  (화정동),031)963-3033,국밥류 / 10% 할인
중화요리 현경,음식점,경기도 고양시 덕양구 화신로272번길 3  (화정동),031)970-8970,중식류 / 10% 할인
일산칼국수,음식점,경기도 고양시 덕양구 호국로 616  (화정동),031)968-6560,"칼국수, 왕만두 / 10% 할인"
이바돔감자탕,음식점,경기도 고양시 덕양구 화중로 128  (화정동),031)967-3290,"뼈해장국, 소고기국밥 / 10% 할인"
육대장,음식점,경기도 고양시 덕양구 화신로 258  (화정동),031)978-1330,"육개장, 설농탕 / 10% 할인"
스시오,음식점,경기도 고양시 덕양구 화신로260번길 47  (화정동),031)978-6378,초밥 / 10% 할인
세겹집,음식점,경기도 고양시 덕양구 화신로272번길 30  (화정동),031)973-1644,"삼겹살, 목살 / 15% 할인"
백종원의 원조쌈밥집,음식점,경기도 고양시 덕양구 화신로272번길 3  (화정동),031)938-2750,쌈밥정식 / 10% 할인
명가원 설농탕,음식점,경기도 고양시 덕양구 화신로260번길 33  (화정동),031)974-2888,"설농탕, 육개장 / 10% 할인"
마니또 김밥,음식점,경기도 고양시 덕양구 화신로272번길 58  (화정동),031)978-7982,분식 / 15% 할인
대가순두부,음식점,경기도 고양시 덕양구 화중로104번길 16  (화정동),031)965-6861,"순두부, 두부낙지 전골 / 12% 할인"
담소정,음식점,경기도 고양시 덕양구 화중로 32-21  (화정동),031)915-1911,"칼국수, 수제비 / 10% 할인"
고양수산시장,음식점,경기도 고양시 덕양구 은빛로 88  (화정동),031)965-9291,활어회 / 10% 할인
